Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
15576753888,"Aug 18, 2025, 8:36:09 PM",Night Run,Run,,2012,2.12,,,false,,,activities/16636697423.fit.gz,,,2012.0,1906.0,2120.7,5.294,1.113,16.0,18.6,167.0,174.0,42.9,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2187.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.054,0.0,,,,,0.0,,,,1.148,,,,,,,,,,""
15576753943,"Aug 21, 2025, 6:33:29 AM",Morning Ride,Ride,,880,4.70,162.0,8,false,,,activities/16636697363.fit.gz,,9.0,880.0,859.0,4705.6,17.832,5.478,7.8,10.4,167.0,173.4,7.4,0.0,,,,,162.0,130.0,,,98.0,,,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.347,0.0,,,,,0.0,,,,,,,,,,,,,,""
15576981516,"Aug 25, 2025, 5:28:07 AM",Morning Run,Run,,1861,4.42,181.0,68,false,,,activities/15576981516.gpx,,,1861.0,1691.0,4424.7,5.52,2.617,0.0,0.0,172.7,174.4,7.0,0.0,,,,,181.0,165.0,,,,,,68.0,,,,,,,,,,,,,0.0,,1.0,4427.6,1756098048.0,1.0,12.8,12.5,9.7,0.81,1018.1,0.6,1.5,99.0,0.0,1756097536.0,1756146688.0,0.125,,,0.0,1.0,0.01,30369.0,0.0,,,,,,2.378,0.0,,,,4102.0,0.0,,,,2.618,,,,,,,,,,""
15585452816,"Aug 25, 2025, 7:43:13 PM",Night Run,Run,"",5813,12.07,,,false,,,activities/15585452816.gpx,,,5813.0,5157.0,12078.8,5.967,2.342,139.2,139.2,170.8,297.9,35.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,12748.8,1756148352.0,2.0,25.8,25.6,11.9,0.42,1013.8,1.5,4.3,156.0,0.0,1756097536.0,1756146688.0,0.125,,,0.0,1.0,0.54,33365.0,0.0,,,,,,2.078,329.0,,,,11476.0,0.0,,,,2.472,,,,,,,,,,""
15597531419,"Aug 26, 2025, 7:46:44 PM",Night Run,Run,"",4557,10.01,,,false,,,activities/15597531419.gpx,,,4557.0,4048.0,10012.7,5.06,2.473,9.0,9.4,171.7,175.9,8.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,10034.8,1756234752.0,3.0,24.3,24.9,17.3,0.65,1012.7,2.0,5.6,195.0,0.1,1756184064.0,1756232960.0,0.125,,,0.42,5.0,0.99,17824.0,0.0,,,,,,2.197,376.9,,,,9642.0,0.0,,,,2.479,,,,,,,,,,""
15663481003,"Sep 1, 2025, 7:29:05 PM",Running,Run,"",850,2.34,,,false,,,activities/15663481003.gpx,,,850.0,794.0,2345.8,4.28,2.954,0.0,0.0,172.8,174.4,3.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2347.1,1756753152.0,5.0,17.7,18.0,15.0,0.84,1013.0,1.5,3.4,221.0,0.9,1756702848.0,1756750720.0,0.375,,,0.99,5.0,0.61,22921.0,0.0,,,,,,2.76,0.0,,,,1974.0,0.0,,,,2.956,,,,,,,,,,""
15685043521,"Sep 3, 2025, 4:28:44 PM",Evening Run,Run,"",1785,3.98,,,false,,,activities/15685043521.gpx,,,1785.0,1536.0,3986.4,5.96,2.595,22.7,22.7,170.5,176.8,9.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4010.9,1756915200.0,3.0,27.2,25.8,16.5,0.52,1011.4,5.7,11.0,171.0,0.0,1756875860.0,1756923289.0,0.375,,,0.0,1.0,0.65,33975.0,1.0,,,,,,2.233,560.5,,,,3896.0,0.0,,,,2.611,,,,,,,,,,""
15733660508,"Sep 7, 2025, 7:26:15 PM",Night run 5km,Run,"",1882,5.16,,,false,,,activities/15733660508.gpx,,,1882.0,1777.0,5159.7,9.3,2.904,0.0,0.0,172.7,174.4,2.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5163.2,1757271600.0,3.0,24.9,23.7,14.1,0.51,1014.6,3.7,9.0,186.0,0.0,1757221752.0,1757268426.0,0.375,,,0.0,1.0,0.64,32381.0,0.0,,,,,,2.742,0.0,,,,4458.0,0.0,,,,2.906,,,,,,,,,,""
15743875404,"Sep 8, 2025, 7:03:16 PM",Night run 4km - 23mn,Run,"",1384,4.02,,,false,,,activities/15743875404.gpx,,,1384.0,1354.0,4026.3,11.34,2.974,0.0,0.0,172.7,174.4,2.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4029.5,1757358000.0,5.0,19.3,18.8,16.1,0.82,1016.8,3.0,6.6,311.0,0.1,1757308220.0,1757354707.0,0.5,,,0.9,5.0,0.98,19970.0,0.0,,,,,,2.909,0.0,,,,3426.0,0.0,,,,2.976,,,,,,,,,,""
15756903591,"Sep 9, 2025, 8:11:06 PM",10km,Run,"",3730,10.03,,,false,,,activities/15756903591.gpx,,,3730.0,3641.0,10035.3,9.587,2.756,12.2,12.6,168.3,175.9,9.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,10061.6,1757448000.0,3.0,18.2,18.2,13.5,0.74,1013.7,1.7,5.0,336.0,0.0,1757394695.0,1757440990.0,0.625,,,0.73,5.0,0.82,32066.0,0.0,,,,,,2.69,10.2,,,,9126.0,0.0,,,,2.763,,,,,,,,,,""
